NEGERI,SURAU,ALAMAT,POSKOD,DAERAH,NO. TELEFON,NO. FAKSIMILI
PERAK,PUSAT ISLAM DIRI JUMAAT,"PUSAT ISLAM DIRI JUMAAT 
POLITEKNIK SULTAN AZLAN SHAH
BEHRANG.",35900,SLIM RIVER,0129009565,Tiada maklumat
PERAK,SURAU DIRI JUMAAT AL MUHAMMADI,RPS KEMAR KAMPUNG AKAI GERIK PERAK,33300,GERIK,Tiada maklumat,Tiada maklumat
PERAK,SURAU TARBIAH ISLAMIAH (SDJ),"SEK. MEN. AGAMA KEBANGSAAN AZLAN SHAH, 
SERI ISKANDAR, 32600 BOTA, PERAK",32610,SERI ISKANDAR / PARIT,05 3711689,Tiada maklumat
PERAK,SURAU DIRI JUMAAT,"SEK. MEN. SAINS TAPAH 
JALAN PAHANG
TAPAH, PERAK",35000,TAPAH,05-4018745,Tiada maklumat
PERAK,SDJ SEK. SAINS TAPAH,"SEK. MEN. SAINS TAPAH, JALAN PAHANG
TAPAH",35000,TAPAH,05-4018745,Tiada maklumat
PERAK,SURAU NUR HIDAYAH,"SEKOLAH MENENGAH KEBANGSAAN AGAMA TAHFIZ MODEL ULUL ALBAB KAMPONG SELAMAT, SIMPANG EMPAT SEMANGGOL,PERAK",34400,BAGAN SERAI,Tiada maklumat,Tiada maklumat
PERAK,SURAU DIRI JUMAAT ISLAHIAH,"SURAU DIRI JUMAAT ISLAHIAH
SEKOLAH MENENGAH VOKESIONAL SLIM RIVER
35800 SLIM RIVER",35800,SLIM RIVER,Tiada maklumat,Tiada maklumat
PERAK,SURAU DIRI JUMAAT MADDAH ,"SURAU MADDAH
FASA 1A, SERI MANJUNG
PERAK DARUL RIDZUAN ",32040,MANJUNG,019-5065543,Tiada maklumat
PERAK,SURAU PUSAT SERENTI PERLOP,"SURAU PUSAT SERENTI PERLOP,
31100 SUNGAI SIPUT (U) PERAK.",31100,KUALA KANGSAR,05-5911687,Tiada maklumat
PERAK,SURAU DIRI JUMAAT AL ITTIFAQIYYAH,"TAMAN BEMBAN RAYA
BATU GAJAH",31000,BATU GAJAH,0195116205,Tiada maklumat
PERAK,MADRASAH AL EHWAN TAMAN BERNAM (SDJ),"TAMAN BERNAM, 35900 TANJUNG MALIM, PERAK",35900,SLIM RIVER,017-6561201,Tiada maklumat
PERAK,"SDJ TAMAN DESA BAKTI	 ","TAMAN DESA BAKTI	
JALAN KAMPUNG BANJAR",36000,HILIR PERAK,013 4404214,Tiada maklumat
PERAK,SDJ  AL MUHAJIRIN,"TAMAN DESA MAJU PERAK,LANGKAP",36700,HILIR PERAK,019 3678975,Tiada maklumat
PERAK,SURAU SOLAT JUMAAT WAN NUNG,TAMAN DESA PERMATA GERIK PERAK,33300,GERIK,Tiada maklumat,Tiada maklumat
PERAK,SURAU DIRI JUMAAT AL-JAMIAH,"TAMAN KRISHNAN,
KG CINA
32000 SITIAWAN
PERAK DARUL RIDZUAN",32000,MANJUNG,Tiada maklumat,Tiada maklumat
PERAK,SURAU DIRI JUMAAT NURUL HASANAH ,"TAMAN MAS, KAMPUNG KOH
32020 SITIAWAN
PERAK DARUL RIDZUAN",32020,MANJUNG,01132581997,Tiada maklumat
PERAK,SURAU AL-IKHWAN (DIRIKAN JUMAAT),"TAMAN NESA,
34100 SELAMA,
PERAK.",34100,SELAMA,016-5634167,Tiada maklumat
PERAK,SURAU DIRI JUMAAT TAMAN SERI BIDOR,TAMAN SERI BIDOR 35500 BIDOR PERAK .,35500,TAPAH,Tiada maklumat,Tiada maklumat
PERAK,SDJ HIDAYATUL ISLAMIAH,"TAMAN SERI CICELY JALAN CHANGKAT JONG
TELUK INTAN",36000,HILIR PERAK,012 4642669,Tiada maklumat
PERAK,SDJ AL-ANSOR,"TAMAN SERI PALMA BANDAR SERI BOTANI , IPOH 31350 PERAK .",31350,IPOH,Tiada maklumat,Tiada maklumat
PERAK,AL HIDAYAH UMMUMI,"TANAH KEBUN 
SIMPANG LIMA
PARIT BUNTAR
PERAK",34200,PARIT BUNTAR,Tiada maklumat,Tiada maklumat
PERAK,SURAU RPS BANUN,TPS BANUN GERIK,Tiada maklumat,GERIK,Tiada maklumat,Tiada maklumat
PERAK,SURAU DIRI JUMAAT AL ISLAH,"TROLAK PLANTATION RESORT,
FELDA RESIDENCE TROLAK,
35600 SUNGKAI",35600,TAPAH,054388687,Tiada maklumat
PERAK,SURAU PUSAT ISLAM UITM (SDJ),"UITM SERI ISKANDAR , 32600 BOTA , PERAK",32610,SERI ISKANDAR / PARIT,017 5477198,Tiada maklumat
PERAK,SURAU DIRI JUMAAT UITM ,"UNUVIRSITI TEKNOLOGI MARA (PERAK)
TAPAH ROAD
PERAK",53400,TAPAH,05-4018745,Tiada maklumat
PAHANG,SURAU IKBN TEMERLOH,28000 TEMERLOH,28000,TEMERLOH,Tiada maklumat,Tiada maklumat
PAHANG,SURAU TAMAN BUNGA RAYA,28000 TEMERLOH,28000,TEMERLOH,Tiada maklumat,Tiada maklumat
PAHANG,SURAU TAMAN JAYA 6,28000 TEMERLOH,28000,TEMERLOH,Tiada maklumat,Tiada maklumat
PAHANG,SURAU TAMAN SETIA JASA,28000 TEMERLOH,28000,TEMERLOH,Tiada maklumat,Tiada maklumat
PAHANG,SURAU FELDA MENGKARAK 2,28300 BERA,28300,BERA,Tiada maklumat,Tiada maklumat
PAHANG,SURAU KG. JERGOH,"28500 LANCHANG, TEMERLOH",28500,TEMERLOH,Tiada maklumat,Tiada maklumat
PAHANG,SURAU AL-MUKMIN (SJ),AL-MUKMIN TMN IMPIANKU KM 13 JLN SG LEMB,Tiada maklumat,KUANTAN,Tiada maklumat,Tiada maklumat
PAHANG,"AL-MUSTAQIUM, CCRC KARAK","CCRC KARAK, LEBUHRAYA KL-KARAK",28600,BENTONG,Tiada maklumat,Tiada maklumat
PAHANG,SURAU FATIMAH AZ-ZAHRAA (SJ),FATIMAH AZ-ZAHRAA P'KGAN INDERA SEMPURNA,Tiada maklumat,KUANTAN,Tiada maklumat,Tiada maklumat
PAHANG,SURAU FELDA KECHAU 07,"FELDA KECHAU 07
KECHAU",27200,LIPIS,Tiada maklumat,Tiada maklumat
PAHANG,SURAU GENTING HIGHLANDS,GENTING HIGHLANDS,96000,BENTONG,Tiada maklumat,Tiada maklumat
PAHANG,SURAU UNIVERSITI ISLAM ANTARABANGSA,"JALAN ISTANA, BANDAR INDERA MAHKOTA, 25200 KUANTAN.",25200,KUANTAN,Tiada maklumat,Tiada maklumat
PAHANG,SURAU POS PANTOS,"KAMPUNG PANTOS
",27650,LIPIS,Tiada maklumat,Tiada maklumat
PAHANG,SURAU ISKANDAR 96 DEPOT PELURU,"KEM MEMPAGA,
96 DEPOT PELURU,
BENTONG",28600,BENTONG,Tiada maklumat,Tiada maklumat
PAHANG,SURAU KG PERPINDAHAN SG DAMAI (SJ),KG PERPINDAHAN SG DAMAI,Tiada maklumat,KUANTAN,Tiada maklumat,Tiada maklumat
PAHANG,SURAU KG.BARU BENTONG,KG.BARU BENTONG 28700,28700,BENTONG,Tiada maklumat,Tiada maklumat
PAHANG,KOLEJ VOKASIONAL TENGKU AMPUAN AFZAN,"KM 6, JALAN KUALA LUMPUR,",28700,BENTONG,Tiada maklumat,Tiada maklumat
PAHANG,SURAU PUSAT LATIHAN TEKNOLOGI TINGGI ( ADTEC ) JER,KM 9 JALAN JERANTUT -  TEMERLOH,27000,JERANTUT,09-2663391,09-2662490
PAHANG,MASJID ATTAQWA ,KOLEJ MATRIKULASI TEKNIKAL JENGKA 26400 BANDAR PUSAT JENGKA PAHANG,26400,JENGKA,Tiada maklumat,Tiada maklumat
PAHANG,SURAU KOMPLEK PENJARA BENTONG,KOMPLEK PENJARA BENTONG,28600,BENTONG,Tiada maklumat,Tiada maklumat
PAHANG,SURAU TARIQ IBNU ZIYAD,"KOMPLEKS PULARIS, KEM MENTAKAB",28000,TEMERLOH,Tiada maklumat,Tiada maklumat
PAHANG,MASJID IMAM ALGHAZALI,"MAAHAD SAS DINI JENGKA,BANDAR PUSAT JENGKA, PAHANG ",26400,JENGKA,Tiada maklumat,Tiada maklumat
PAHANG,MASJID UWAIS ALQORNI,"MASJID UITM PAHANG (CAW JENGKA)
BANDAR TUN ABDUL RAZAK JENGKA",26400,JENGKA,Tiada maklumat,Tiada maklumat
PAHANG,SURAU AL-HIDAYAH PENJOM GOLD MINE,"P.O BOX 49, 
PENJOM 
 KUALA LIPIS",27200,LIPIS,Tiada maklumat,Tiada maklumat
PAHANG,SURAU KOMPLEKS KRAU,PEJABAT LADANG FELDA KRAU,27600,RAUB,Tiada maklumat,Tiada maklumat
PAHANG,SURAU SMV SHAS  (KOLEJ VOKALSIONAL),"PENJOM,KUALA LIPIS",27200,LIPIS,Tiada maklumat,Tiada maklumat
PAHANG,SURAU POLIS ALOR AKAR (SJ),POLIS ALOR AKAR,Tiada maklumat,KUANTAN,Tiada maklumat,Tiada maklumat
PAHANG,SURAU KG. KUALA BOH,"POS MENSON RINGLET,CAMERON HIGHLANDS, PAHANG",39200,CAMERON HIGHLANDS,Tiada maklumat,Tiada maklumat
PAHANG,SURAU AS-SYAHADAH SUNGAI JAN,SURAU AS-SYAHADAH SG JAN,27000,JERANTUT,Tiada maklumat,Tiada maklumat
PAHANG,SURAU AS-SYARIF TAMAN TAS (SJ),SURAU AS-SYARIF TAMAN TAS 25000 KUANTAN PAHANG DARUL MAKMUR,25000,KUANTAN,Tiada maklumat,Tiada maklumat
PAHANG,SURAU SEKOLAH MENENGAH AGAMA AL-IHSAN ,SURAU SEKOLAH AGAMA AL-IHSAN,25000,KUANTAN,Tiada maklumat,Tiada maklumat
PAHANG,SURAU AR RAUDHAH TAMAN GURU (SJ),TAMAN GURU BATU 4,Tiada maklumat,KUANTAN,Tiada maklumat,Tiada maklumat
PAHANG,SURAU AL-AMIN (SJ),"TAMAN SAMUDERA, BALOK PERDANA, 26100 KUANTAN.",26100,KUANTAN,Tiada maklumat,Tiada maklumat
PAHANG,SURAU TAMAN SRI MAHKOTA AMAN (SJ),TAMAN SRI MAHKOTA AMAN,Tiada maklumat,KUANTAN,Tiada maklumat,Tiada maklumat
PAHANG,SURAU UITM RAUB,UITM KAMPUS RAUB,27600,RAUB,Tiada maklumat,Tiada maklumat
PAHANG,SURAU UITM KAMPUS RAUB,"UITM KAMPUS RAUB
RAUB, PAHANG",27600,Tiada maklumat,Tiada maklumat,Tiada maklumat
N. SEMBILAN,SURAU SEKOLAH MENENGAH TEKNIK KUALA KLAWANG,"71600 JELEBU, NEGERI SEMBILAN",71600,JELEBU,Tiada maklumat,Tiada maklumat
N. SEMBILAN,SURAU 14 RAMD,73400 GEMAS,73400,TAMPIN,Tiada maklumat,Tiada maklumat
N. SEMBILAN,SURAU 21 RAD,73400 GEMAS,73400,TAMPIN,Tiada maklumat,Tiada maklumat
N. SEMBILAN,SURAU KELPIN ESTATE,BAHAU,Tiada maklumat,JEMPOL,Tiada maklumat,Tiada maklumat
N. SEMBILAN,KOMANDAN KEM SERI PERKASA,"BATU 8, JALAN SEREMBAN MANTIN, MANTIN MUKIM SENTUL, 71700 SEREMBAN",71700,SEREMBAN,Tiada maklumat,Tiada maklumat
N. SEMBILAN,SURAU HJ MOHAMAD MUSA,"FASA 1, BANDAR SEREMBAN SELATAN, SUNGAI GADUT, SEREMBAN",71450,SEREMBAN,016-3366635,Tiada maklumat
N. SEMBILAN,SURAU GARDEN HOMES FASA F,"GARDEN HOMES FASA F, SEREMBAN 2, 70300 SEREMBAN N.SEMBILAN",70300,SEREMBAN,Tiada maklumat,Tiada maklumat
N. SEMBILAN,SURAU IKBN CHEMBONG,"INSTITUT KEMAHIRAN BELIA CHEMBONG,PEDAS",71400,REMBAU,Tiada maklumat,Tiada maklumat
N. SEMBILAN,SURAU INSTITUT KEMAHIRAN BELIA NEGARA,"INSTITUT LATIAHAN BELIA NEGARA CHEMBUNG, 71300 REMBAU, NEGERI SEMBILAN",71300,REMBAU,Tiada maklumat,Tiada maklumat
N. SEMBILAN,SURAU PENJARA,"INTITUSI PERMULIHAN DADAH,  JABATAN PENJARA MALAYSIA, TITI",71650,JELEBU,Tiada maklumat,Tiada maklumat
N. SEMBILAN,SURAU SEK MEN KEB AGAMA SHEIKH HJ MOHD SAID,"JALAN TUNKU KHURSIAH, SEREMBAN",70400,SEREMBAN,06-7623778,Tiada maklumat
N. SEMBILAN,SURAU KG. ESOK,"KAMPUNG ESOK, TITI",71650,SEREMBAN,Tiada maklumat,Tiada maklumat
N. SEMBILAN,SURAU LADANG AYER HITAM,"LADANG AYER HITAM, JEMPOL, NEGERI SEMBILAN",72120,JEMPOL,Tiada maklumat,Tiada maklumat
N. SEMBILAN,SURAU MRSM JELEBU,"MAKTAB RENDAH SAINS MARA JELEBU, KUALA KLAWANG",71600,JELEBU,Tiada maklumat,Tiada maklumat
N. SEMBILAN,MUSOLLA SEKOLAH MENENGAH AGAMA SAINS REMBAU,"MUSOLLA SEKOLAH MENENGAH AGAMA SAINS REMBAU,
",71400,REMBAU,Tiada maklumat,Tiada maklumat
N. SEMBILAN,PUSAT ISLAM POLITEKNIK PORT DICKSON,"POLITEKNIK PORT DICKSON, KM 14, JALAN  PANTAI, 71050 SI RUSA, PORT DICKSON",71050,PORT DICKSON,Tiada maklumat,Tiada maklumat
N. SEMBILAN,"SURAU SEK. MEN AGAMA PERSEKUTUAN, LABU","SEKOLAH MENENGAH AGAMA PERSEKUTUAN LABU, SEREMBAN",71900,SEREMBAN,Tiada maklumat,Tiada maklumat
N. SEMBILAN,SURAU SEK. DATO' ABDUL RAZAK,"SUNGAI GADUT, 71450 SEREMBAN NEGERI SEMBILAN",71450,SEREMBAN,Tiada maklumat,Tiada maklumat
N. SEMBILAN,SURAU TAMAN BAHAU,"TAMAN BAHAU, BAHAU",72100,JEMPOL,Tiada maklumat,Tiada maklumat
N. SEMBILAN,SURAU YAYASAN SOFA,YAYASAN SOFA ,71350,REMBAU,Tiada maklumat,Tiada maklumat
MELAKA,SURAU REHABILITASI ( PERKESO ),SURAU REHABILITASI ( PERKESO ),Tiada maklumat,ALOR GAJAH,Tiada maklumat,Tiada maklumat
MELAKA,SURAU KOMANDOR,KEM TERENDAK MELAKA,Tiada maklumat,MELAKA TENGAH,Tiada maklumat,Tiada maklumat
MELAKA,SURAU UNI KUALA LUMPUR ( MICET ),"KG CHERANA PUTIH,MELAKA",74530,ALOR GAJAH,Tiada maklumat,Tiada maklumat
MELAKA,SURAU KOLEJ MATRIKULASI ,LONDANG MELAKA,Tiada maklumat,ALOR GAJAH,Tiada maklumat,Tiada maklumat
MELAKA,SURAU  DUSUN DATUK MURAD,"PENJARA DUSUN DATUK MURAD, MELAKA",75420,MELAKA TENGAH,Tiada maklumat,Tiada maklumat
MELAKA,SURAU SEK HENRY GURNEY,"SEK HENRY GURNEY, MELAKA",75460,MELAKA TENGAH,Tiada maklumat,Tiada maklumat
MELAKA,SURAU PUSAT KOREKSIONAL,"SEKOLAH HENDRY GURNEY LIPAT KAJANG, JASIN MELAKA",Tiada maklumat,JASIN,Tiada maklumat,Tiada maklumat
MELAKA,SURAU MULTIMEDIA BUKIT BERUANG,SURAU MULTIMEDIA BUKIT BERUANG MELAKA,75450,Tiada maklumat,Tiada maklumat,Tiada maklumat
MELAKA,SURAU PUSPEN TAMPIN MELAKA,SURAU PUSPEN TAMPIN MELAKA,Tiada maklumat,Tiada maklumat,Tiada maklumat,Tiada maklumat
MELAKA,SURAU PUSPEN,"TIANG DUA, MELAKA",Tiada maklumat,MELAKA TENGAH,Tiada maklumat,Tiada maklumat
KEDAH,SURAU TAMAN ANGSANA,SURAU TAMAN ANGSANA,Tiada maklumat,KULIM,Tiada maklumat,Tiada maklumat
KEDAH,SURAU MRSM MERBOK,SURAU MRSM MERBOK,8000,KUALA MUDA,Tiada maklumat,Tiada maklumat
KEDAH,SURAU PETRONAS FITELIZE,GURUN KEDAH,8600,KUALA MUDA,Tiada maklumat,Tiada maklumat
KEDAH,SURAU INNABAH PONDOK REMAJA 1 MALAYSIA,"JABBAR SUUH, MUKIM PADANG TEMAK,
06300 KUALA NERANG, KEDAH",6300,PADANG TERAP,047823996,047823996
KEDAH,SURAU JAMEK BUKIT MALUT,"KAMPUNG BUKIT MALUT, MUKIM ULU MELAKA, LANGKAWI",7000,LANGKAWI,Tiada maklumat,Tiada maklumat
KEDAH,SURAU PADANG LUDAP,KAMPUNG PADANG LUDAP,600,KUBANG PASU,Tiada maklumat,Tiada maklumat
KEDAH,SURAU KEM LAPANGAN TERBANG,KEM SUNGAI LAYAR,Tiada maklumat,KUALA MUDA,Tiada maklumat,Tiada maklumat
KEDAH,SURAU KEM SULTAN ABDUL HALIM,"KEM TENTERA
TOK JALAI
KEPALA BATAS
06200 KEPALA BATAS.",6200,KUBANG PASU,Tiada maklumat,Tiada maklumat
KEDAH,SURAU KG DARAT,KG DARAT MK PADANG PERAHU JITRA KEDAH ,6000,KUBANG PASU,Tiada maklumat,Tiada maklumat
KEDAH,SURAU KOLEJ TENTERA UDARA,"KOLEJ TENTERA UDARA,
BUKIT PINANG,
06200 KEPALA BATAS",6200,KOTA SETAR,Tiada maklumat,Tiada maklumat
KEDAH,SURAU ADTEC MAHANG,"LOT 635 JALAN MAHANG 
KARANGAN",9500,KULIM,04 4042975,04 4042971
KEDAH,SURAU JAMEK TLDM (MAWILLA),MARKAZ TLDM BUKIT MALUT,7000,LANGKAWI,Tiada maklumat,Tiada maklumat
KEDAH,SURAU UITM,MERBOK KEDAH,8600,KUALA MUDA,Tiada maklumat,Tiada maklumat
KEDAH,SURAU PENJARA,"PENJARA ALOR SETAR
05100 ALOR SETAR.",5100,KOTA SETAR,Tiada maklumat,Tiada maklumat
KEDAH,SURAU PENJARA,"PENJARA POKOK SENA
06400 POKOK SENA.",6400,POKOK SENA (DAERAH KECIL),Tiada maklumat,Tiada maklumat
KEDAH,SURAU PENJARA SUNGAI PETANI,PENJARA SUNGAI PETANI,8000,KUALA MUDA,Tiada maklumat,Tiada maklumat
KEDAH,SURAU PERWAJA,PERWAJA GURUN KEDAH,8600,KUALA MUDA,Tiada maklumat,Tiada maklumat
KEDAH,SURAU POLITEKNIK SULTANAH BAHIYAH KULIM,"POLITEKNIK SULTANAH BAHIYAH KULIM
KULIM HI-TECH PARK",9000,KULIM,04 4033333,04 4033033
KEDAH,SURAU JAMEK PULAPOL,"PUSAT LATIHAN POLIS
CAWANGAN LANGKAWI
LANGKAWI KEDAH DARUL AMAN",7100,LANGKAWI,Tiada maklumat,Tiada maklumat
KEDAH,SURAU AR-RAHMAN,PUSAT SERENTI KARANGAN / PADANG KELIAN,9700,KULIM,Tiada maklumat,Tiada maklumat
KEDAH,"SURAU CCRC, SERDANG","SURAU CCRC, SERDANG",9800,BANDAR BAHARU,Tiada maklumat,Tiada maklumat
KEDAH,SURAU AL HUDA,TAMAN DESA AMAN,9410,KULIM,Tiada maklumat,Tiada maklumat
KEDAH,SURAU AL-MUNAWWARAH,TAMAN KTC 4,Tiada maklumat,KULIM,Tiada maklumat,Tiada maklumat
JOHOR,SURAU TUAN HAJI FAKIR,SURAU TUAN HAJI FAKIR,Tiada maklumat,BATU PAHAT,Tiada maklumat,Tiada maklumat
JOHOR,AL-HIJRAH,AL-HIJRAH,Tiada maklumat,Tiada maklumat,Tiada maklumat,Tiada maklumat
JOHOR,AL-WAHDAH,AL-WAHDAH,Tiada maklumat,Tiada maklumat,Tiada maklumat,Tiada maklumat
JOHOR,MASJID LAMA AL-HIDAYAH ,MASJID LAMA AL-HIDAYAH ,Tiada maklumat,Tiada maklumat,Tiada maklumat,Tiada maklumat
JOHOR,SURAU AL-FALAH,SURAU AL-FALAH,Tiada maklumat,Tiada maklumat,Tiada maklumat,Tiada maklumat
JOHOR,"SURAU AL-MUTTAQIN, TAMAN KOTA JAYA","SURAU AL-MUTTAQIN, TAMAN KOTA JAYA",Tiada maklumat,Tiada maklumat,Tiada maklumat,Tiada maklumat
JOHOR,SURAU AL-TARBIAH,SURAU AL-TARBIAH,Tiada maklumat,Tiada maklumat,Tiada maklumat,Tiada maklumat
JOHOR,SURAU PAYA DALAM KKB,SURAU PAYA DALAM KKB,Tiada maklumat,Tiada maklumat,Tiada maklumat,Tiada maklumat
JOHOR,SURAU LADANG KUMPULAN MELAYU,"81900 KOTA TINGGI, JOHOR",81900,KOTA TINGGI,Tiada maklumat,Tiada maklumat
JOHOR,SURAU ADTECH,BATU PAHAT,Tiada maklumat,BATU PAHAT,Tiada maklumat,Tiada maklumat
JOHOR,SURAU BAITURRAHMAN ( MUKIM TANGKAK),"D/A PEKAN SAGIL 84020
SAGIL TANGKAK",84020,TANGKAK,0196547058,Tiada maklumat
JOHOR,AL-AMIN,"IBU PEJABAT POLIS DAERAH KULAIJAYA,.",Tiada maklumat,KULAI,019-6911854,Tiada maklumat
JOHOR,SURAU AL-AMIN IPD,"IBU PEJABAT POLIS DAERAH KULAIJAYA,KULAIJAYA,JOHOR.",81000,Tiada maklumat,Tiada maklumat,Tiada maklumat
JOHOR,SURAU UMAR ABDUL AZIZ,JALAN ENGGANG BANDAR PUTRA,81000,Tiada maklumat,  012-7717329,Tiada maklumat
JOHOR,SURAU INDIA MUSLIM,"JALAN MENTOL,
85000  SEGAMAT",85000,SEGAMAT,Tiada maklumat,Tiada maklumat
JOHOR,SURAU AL-ITQAN ILP MERSING,"JALAN MERSING-KOTA TINGGI,
86800 MERSING JOHOR
",86800,MERSING,Tiada maklumat,Tiada maklumat
JOHOR,SURAU AR-RAHMAN,"JALAN MOLEK 3/19, TAMAN MOLEK",81100,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
JOHOR,ITTIHAT PERJIRANAN 9,"JALAN PERJIRANAN 9, PASIR GUDANG",Tiada maklumat,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
JOHOR,SURAU JANNATUL FIRDAUS/ SURAU TMN MOLEK,"JALAN PERSIARAN MOLEK 2/23, TAMAN MOLEK",81100,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
JOHOR,"SURAU AR-RAUDHAH AS-SAKINAH,PULAI EMAS","JALAN PULAI EMAS 2/14,SKUDAI",81300,KULAI,019-7596388,Tiada maklumat
JOHOR,SURAU AS SABIRIN,JALAN RUMBIA 44 TMN DAYA,81100,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
JOHOR,SURAU TAMAN BEROLEH,"JALAN SELADANG, TAMAN BEROLEH,              
MUKIM SIMPANG KANAN, BATU PAHAT",83000,BATU PAHAT,Tiada maklumat,Tiada maklumat
JOHOR,SURAU AT-TAUFIQIYAH TAMAN MEWAH,"JALAN SELENDANG,TAMAN MEWAH,KULAIJAYA",81010,KULAI,019-7149861,Tiada maklumat
JOHOR,SURAU TMN PLENTONG BARU,JLN BUNGA SEROJA TMN PLENTONG BARU 81750 JOHOR BAHRU,81750,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
JOHOR,SURAU AZ-ZAKIRIN,JLN LADING TMN PUTRI WANGSA ULU TIRAM 81800 JOHOR BAHRU,Tiada maklumat,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
JOHOR,SURAU AN NUR,JLN LARKIN PERDANA 3 JOHOR BAHRU,Tiada maklumat,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
JOHOR,SURAU AL-BARAKAH,"JLN MAWAR 19, TMN MAWAR PASIR GUDANG",81700,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
JOHOR,SURAU AL- HIDAYAH,JLN PEKAKA PERLING TAMAN PERLING,81200,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
JOHOR,SURAU TMN PULAI PERDANA,"JLN PERSISIRAN PERDANA 3
81300 JOHOR BAHRU",Tiada maklumat,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
JOHOR,SURAU TAMAN BUKIT INDAH,JLN. INDAH 5/8 TAMPOI,81200,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
JOHOR,SURAU SUTERA,"JLN. SUTERA HIJAU
TMN. SERI SUTERA PERLING",81200,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
JOHOR,SURAU PAYA LEMPAH,KAMPUNG PAYA LEMPAH LENGA,Tiada maklumat,Tiada maklumat,Tiada maklumat,Tiada maklumat
JOHOR,PERMATA HIKMAH,KAMPUNG TEBING RUNTUH,Tiada maklumat,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
JOHOR,SURAU DARUL HIDAYAH LADANG TUNJUK LAUT,"KB NO 517,
81900 KOTA TINGGI JOHOR",81900,KOTA TINGGI,Tiada maklumat,Tiada maklumat
JOHOR,SURAU PAHLAWAN,"KEM ASKAR MELAYU DIRAJA
BATU 3, JALAN MERSING 
KLUANG",86000,Tiada maklumat,Tiada maklumat,Tiada maklumat
JOHOR,SURAU PAHLAWAN,"KEM BATU 3, JALAN MERSING",86000,Tiada maklumat,Tiada maklumat,Tiada maklumat
JOHOR,SURAU PAHLAWAN,"KEM BATU 3,
JALAN MERSING.
KLUANG, JOHOR",86000,KLUANG,077771242,Tiada maklumat
JOHOR,SURAU PAHLAWAN 5 RAMD,"KEM BT 3
86000 KLUANG",Tiada maklumat,Tiada maklumat,Tiada maklumat,Tiada maklumat
JOHOR,"SURAU KG. LAGENDA DARAT, ","KG LAGENDA DARAT, GELANG PATAH",Tiada maklumat,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
JOHOR,SURAU BULATAN,KG. MELAYU MAJIDEE,81100,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
JOHOR,SURAU BURHANUDDIN PT SAKAI JALAN JONID,KG. PT SAKAI LAUT,Tiada maklumat,MUAR,Tiada maklumat,Tiada maklumat
JOHOR,SURAU PULAPOL,"KM 6, JLN JEMENTAH, 85200 SEGAMAT",85200,SEGAMAT,Tiada maklumat,Tiada maklumat
JOHOR,SURAU DARUL ULUM LADANG REM,KULIM (M) BERHAD LADANG REM 81900 KOTA TINGGI JOHOR,81900,KOTA TINGGI,Tiada maklumat,Tiada maklumat
JOHOR,"SURAU TUNKU AMPUAN MAIMUNAH,MADOS","LADANG MADOS,
LENGGOR, 86700 MERSING",Tiada maklumat,MERSING,Tiada maklumat,Tiada maklumat
JOHOR,SURAU LADANG MUNGKA,"LADANG MUNGKA
KB 524, 85009
SEGAMAT",85009,SEGAMAT,019-7344514,Tiada maklumat
JOHOR,SURAU DARUL GHUFRAN LADANG PASIR LOGOK,"LADANG PASIR LOGOK K.B 504
81900 KOTA TINGGI",81900,KOTA TINGGI,Tiada maklumat,Tiada maklumat
JOHOR,SURAU LADANG AL MUKMIN,"LADANG SIMPANG LOI, BULOH KASAP, 85000 SEGAMAT",85000,SEGAMAT,Tiada maklumat,Tiada maklumat
JOHOR,SURAU YPJ LDG PAYA MUNIS,LDG. PAYA MUNIS SELATAN,86800,MERSING,Tiada maklumat,Tiada maklumat
JOHOR,SURAU KARANGKRAF,"LOT 3 JALAN RENGGAM 15/5 SEKSYEN 15,",40200,Tiada maklumat,Tiada maklumat,Tiada maklumat
JOHOR,SURAU BAITURAHMAN,"PEKAN SAGIL, JALAN SEGAMAT",Tiada maklumat,Tiada maklumat,Tiada maklumat,Tiada maklumat
JOHOR,SURAU TMN IMPIAN EMAS,PERSIARAN EMAS TMN IMPIAN EMAS SKUDAI 81300 JOHOR BAHRU,Tiada maklumat,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
JOHOR,"SURAU MUMIN BEE, ","PERUMAHAN IMEGRESEN, FLAT KENANGAN 6, TAMPOI",Tiada maklumat,JOHOR BAHRU,Tiada maklumat,Tiada maklumat
